File,Vertex Cover Size,Computation Time (seconds)
pace2019_track1_vc_exact_all/vc-exact_001.gr,3506,0.164297
pace2019_track1_vc_exact_all/vc-exact_002.gr,10605,6.22699
pace2019_track1_vc_exact_all/vc-exact_003.gr,12257,4.43343
pace2019_track1_vc_exact_all/vc-exact_004.gr,3852,0.157446
pace2019_track1_vc_exact_all/vc-exact_005.gr,169,0.00123499
pace2019_track1_vc_exact_all/vc-exact_006.gr,166,0.00116576
pace2019_track1_vc_exact_all/vc-exact_007.gr,8039,0.499163
pace2019_track1_vc_exact_all/vc-exact_008.gr,Error,No solution found
pace2019_track1_vc_exact_all/vc-exact_009.gr,24178,5.65985
pace2019_track1_vc_exact_all/vc-exact_010.gr,171,0.001173
pace2019_track1_vc_exact_all/vc-exact_011.gr,6120,0.376709
pace2019_track1_vc_exact_all/vc-exact_012.gr,10918,3.42762
pace2019_track1_vc_exact_all/vc-exact_013.gr,8610,4.4784
pace2019_track1_vc_exact_all/vc-exact_014.gr,5111,1.46113
pace2019_track1_vc_exact_all/vc-exact_015.gr,10670,6.47313
pace2019_track1_vc_exact_all/vc-exact_016.gr,148,0.00111051
pace2019_track1_vc_exact_all/vc-exact_017.gr,19468,3.04553
pace2019_track1_vc_exact_all/vc-exact_018.gr,10201,5.61457
pace2019_track1_vc_exact_all/vc-exact_019.gr,176,0.00130342
pace2019_track1_vc_exact_all/vc-exact_020.gr,11708,3.98534
pace2019_track1_vc_exact_all/vc-exact_021.gr,5110,1.436
pace2019_track1_vc_exact_all/vc-exact_022.gr,9203,0.706015
pace2019_track1_vc_exact_all/vc-exact_023.gr,20524,3.95594
pace2019_track1_vc_exact_all/vc-exact_024.gr,5332,0.312207
pace2019_track1_vc_exact_all/vc-exact_025.gr,4899,1.28246
pace2019_track1_vc_exact_all/vc-exact_026.gr,3538,0.164813
pace2019_track1_vc_exact_all/vc-exact_027.gr,13431,5.32712
pace2019_track1_vc_exact_all/vc-exact_028.gr,11211,3.72849
pace2019_track1_vc_exact_all/vc-exact_029.gr,11548,1.07575
pace2019_track1_vc_exact_all/vc-exact_030.gr,13399,4.973
pace2019_track1_vc_exact_all/vc-exact_031.gr,182,0.00126998
pace2019_track1_vc_exact_all/vc-exact_032.gr,Error,No solution found
